date,value,return
2014-06-30,10293115.8713161,2.931158713160986
2014-09-30,10422687.944201369,1.2588226393753899
2014-12-31,10134847.908515023,-2.761667980729346
2015-03-31,9840586.606158324,-2.9034604664315564
2015-06-30,9734918.673418302,-1.0737970912617438
2015-09-30,10685352.945293026,9.763145474136648
2015-12-31,11577130.954104813,8.345798340752244
2016-03-31,12490239.907016234,7.887178235533973
2016-06-30,13205690.137215763,5.728074364669605
2016-09-30,13381378.024965111,1.330395351729713
2016-12-31,13091252.50235202,-2.1681288883089342
2017-03-31,13552195.949857907,3.521003413715171
2017-06-30,13953620.60103357,2.9620635110420626
2017-09-30,14976969.176727513,7.333928626511033
2017-12-31,15155257.124868535,1.1904140686759324
2018-03-31,16462479.025003273,8.625534290603976
2018-06-30,17298782.57592718,5.0800584143720044
2018-09-30,19212802.43236019,11.064477214116458
2018-12-31,19401490.245987363,0.9820941754408924
2019-03-31,20997075.250148714,8.224033225959795
2019-06-30,21063649.972138766,0.3170666447441489
2019-09-30,20905422.841001123,-0.7511857220706492
2019-12-31,24539361.66757931,17.38275687708675
2020-03-31,26250871.700756922,6.974549934763832
2020-06-30,34845983.630465955,32.7421962504247
2020-09-30,42909490.708217725,23.140420322937384
2020-12-31,49377987.517033815,15.074746173991038
2021-03-31,54674158.372517295,10.725773004937633
2021-06-30,66091231.16833973,20.882027516607156
2021-09-30,67159284.19544494,1.616028341770173
2021-12-31,66282983.26607304,-1.3048098112864281
2022-03-31,71062188.75863658,7.210305356020042
2022-06-30,69644717.97284114,-1.9946905809640785
2022-09-30,72811167.21094635,4.546574859187455
2022-12-31,77179073.11529495,5.998950534186645
2023-03-31,80752469.04990855,4.630006283277635
2023-06-30,88595605.1076532,9.71256501506752
2023-09-30,94898203.74125558,7.1138953517435235
2023-12-31,93888332.14221197,-1.0641630286249426
2024-03-31,125264833.59662214,33.418957114803575
2024-06-30,133819597.71865857,6.829342183604753
2024-09-30,135586836.23877555,1.3206126383912942
2024-12-31,150565777.97548214,11.047489676894507
